player,color,opponent,result,event,site,date,year,eco,opening,plycount
Paul Morphy,white,"Morphy, Alonzo",1-0,New Orleans,New Orleans,1848.??.??,1848,C23,Bishop's Opening,61
Paul Morphy,white,"Morphy, Alonzo",1-0,New Orleans,New Orleans,1848.??.??,1848,C33,King’s Gambit Accepted,35
Paul Morphy,white,NN,1-0,New Orleans,New Orleans,1848.??.??,1848,C20,King's Pawn Game,37
Paul Morphy,white,"Rousseau, Eugene",1-0,New Orleans,New Orleans,1849.??.??,1849,C39,"King’s Gambit Accepted, Allgaier Gambit",33
Paul Morphy,black,"Mac Connel, James",0-1,New Orleans,New Orleans,1849.??.??,1849,C38,"King’s Gambit Accepted, Hanstein Gambit",46
Paul Morphy,white,"Mac Connel, James",1-0,New Orleans,New Orleans,1849.??.??,1849,C40,King’s Knight Opening,45
Paul Morphy,white,"Mac Connel, James",1-0,New Orleans,New Orleans,1849.??.??,1849,C35,"King’s Gambit Accepted, Cunningham Defense",21
Paul Morphy,white,"Rousseau, Eugene",1-0,New Orleans,New Orleans,1849.??.??,1849,C50,Italian Game,45
Paul Morphy,white,"Morphy, Alonzo",1-0,New Orleans m,New Orleans,1849.??.??,1849,C51,Evans Gambit,29
Paul Morphy,white,"Morphy, Alonzo",1-0,New Orleans m,New Orleans,1849.??.??,1849,C51,Evans Gambit,41
Paul Morphy,white,"Morphy, Alonzo",1-0,New Orleans m,New Orleans,1849.??.??,1849,C51,Evans Gambit,91
Paul Morphy,white,"Morphy, Ernest",1-0,New Orleans,New Orleans,1849.??.??,1849,C55,Two Knights Defense,39
Paul Morphy,white,"Mac Connel, James",1-0,New Orleans,New Orleans,1849.??.??,1849,C39,"King’s Gambit Accepted, Allgaier Gambit",56
Paul Morphy,white,NN,1-0,New Orleans,New Orleans,1849.??.??,1849,C39,"King’s Gambit Accepted, Allgaier Gambit",39
Paul Morphy,white,"Loewenthal, Johann Jacob",1-0,New Orleans,New Orleans,1850.??.??,1850,C42,Petrov’s Defense,109
Paul Morphy,white,NN,1-0,New Orleans,New Orleans,1850.??.??,1850,C44,King’s Pawn Game,27
Paul Morphy,white,NN,1-0,New Orleans,New Orleans,1850.??.??,1850,C34,"King’s Gambit Accepted, Becker Defense",47
Paul Morphy,black,"Mc Connell, J.",0-1,New Orleans,New Orleans,1850.??.??,1850,C02,"French Defense, Advance Variation",28
Paul Morphy,white,"Morphy, Ernest",1-0,New Orleans,New Orleans,1850.??.??,1850,C52,"Evans Gambit, Pierce Defense",49
Paul Morphy,white,"Morphy, Ernest",1-0,New Orleans,New Orleans,1850.??.??,1850,C50,Italian Game,73
Paul Morphy,white,"Loewenthal, Johann Jacob",1-0,New Orleans,New Orleans,1850.??.??,1850,B21,"Sicilian Defense, Smith–Morra Gambit",97
Paul Morphy,black,"Mc Connell, L.",0-1,New Orleans,New Orleans,1852.??.??,1852,C52,"Evans Gambit, Pierce Defense",50
Paul Morphy,white,"Meek, Alexander Beaufort",1-0,Alabama ,Alabama,1855.??.??,1855,C38,"King’s Gambit Accepted, Hanstein Gambit",35
Paul Morphy,white,Ayers,1-0,Alabama ,Alabama,1855.??.??,1855,C52,"Evans Gambit, Pierce Defense",51
Paul Morphy,white,"Maurian, Charles Amedee",0-1,Alabama ,Alabama,1855.??.??,1855,C33,King’s Gambit Accepted,24
Paul Morphy,black,"Meek, Alexander Beaufort",0-1,Mobile,Mobile,1855.??.??,1855,C44,King’s Pawn Game,42
Paul Morphy,black,"Meek, Alexander Beaufort",0-1,New Orleans,New Orleans,1855.??.??,1855,C44,King’s Pawn Game,50
Paul Morphy,white,NN,1-0,New Orleans,New Orleans,1856.??.??,1856,C25,Vienna Game,43
Paul Morphy,white,"Knight, T.",1-0,New Orleans,New Orleans,1856.??.??,1856,C37,"King’s Gambit Accepted, Muzio Gambit",33
Paul Morphy,white,"Morphy, Ernest",1-0,New Orleans,New Orleans,1856.??.??,1856,C64,"Ruy Lopez, Classical",37
Paul Morphy,white,NN,1-0,New Orleans,New Orleans,1856.??.??,1856,C33,King’s Gambit Accepted,39
Paul Morphy,white,Hart,1-0,New Orleans sim,New Orleans,1857.??.??,1857,C44,King’s Pawn Game,45
Paul Morphy,black,"Thompson, J.",0-1,New Orleans,New Orleans,1857.??.??,1857,C51,Evans Gambit,52
Paul Morphy,white,"Meek, Alexander Beaufort",1-0,New Orleans,New Orleans,1857.??.??,1857,C52,"Evans Gambit, Pierce Defense",65
Paul Morphy,black,"Paulsen, Louis",0-1,New Orleans,New Orleans,1857.??.??,1857,C64,"Ruy Lopez, Classical",44
Paul Morphy,white,"Paulsen, Louis",1-0,USA-01.Congress,New York,1857.??.??,1857,B40,Sicilian Defense,72
Paul Morphy,black,"Meek, Alexander Beaufort",0-1,USA-01.Congress,New York,1857.??.??,1857,C54,Giuoco Piano,58
Paul Morphy,black,"Thompson, J.",0-1,USA-01.Congress,New York,1857.??.??,1857,C50,Italian Game,42
Paul Morphy,black,"Lichtenhein, Theodor",0-1,USA-01.Congress,New York,1857.??.??,1857,C55,Two Knights Defense,36
Paul Morphy,white,"Lichtenhein, Theodor",1-0,USA-01.Congress,New York,1857.??.??,1857,C42,Petrov’s Defense,57
Paul Morphy,white,"Meek, Alexander Beaufort",1-0,USA-01.Congress,New York,1857.??.??,1857,C00,French Defense,60
Paul Morphy,white,"Thompson, J.",1-0,USA-01.Congress,New York,1857.??.??,1857,B44,"Sicilian Defense, Taimanov",95
Paul Morphy,black,"Paulsen, Louis",1/2-1/2,USA-01.Congress,New York,1857.??.??,1857,C67,"Ruy Lopez, Berlin Defense, Mortimer Trap",106
Paul Morphy,black,"Paulsen, Louis",1-0,USA-01.Congress,New York,1857.??.??,1857,C64,"Ruy Lopez, Classical",67
Paul Morphy,black,"Thompson, J.",0-1,USA-01.Congress,New York,1857.??.??,1857,C54,Giuoco Piano,92
Paul Morphy,black,"Lichtenhein, Theodor",1/2-1/2,USA-01.Congress,New York,1857.??.??,1857,D40,"QGD, Semi-Tarrasch Defense",61
Paul Morphy,black,"Meek, Alexander Beaufort",0-1,USA-01.Congress,New York,1857.??.??,1857,C44,King’s Pawn Game,61
Paul Morphy,white,"Paulsen, Louis",1/2-1/2,USA-01.Congress,New York,1857.??.??,1857,B40,Sicilian Defense,72
Paul Morphy,black,"Lichtenhein, Theodor",0-1,USA-01.Congress,New York,1857.??.??,1857,A83,"Dutch Defense, Staunton Gambit",67
Paul Morphy,white,"Paulsen, Louis",1-0,USA-01.Congress,New York,1857.??.??,1857,B40,Sicilian Defense,127
