e4_count,d4_count,knight_moves,bishop_moves,queen_moves_early,captures_early,early_castle,player
1,0,6,6,1,5,0,Paul Morphy
1,1,3,4,3,3,1,Paul Morphy
1,0,4,3,0,3,1,Paul Morphy
1,0,4,1,3,5,0,Paul Morphy
1,0,2,4,0,4,1,Paul Morphy
1,1,2,2,7,2,0,Paul Morphy
1,1,2,5,2,4,0,Paul Morphy
1,0,8,1,1,3,1,Paul Morphy
1,1,3,6,1,5,1,Paul Morphy
1,1,3,6,1,5,1,Paul Morphy
1,1,5,6,0,3,1,Paul Morphy
1,1,4,4,0,2,1,Paul Morphy
1,1,5,2,0,1,0,Paul Morphy
1,1,4,4,0,3,0,Paul Morphy
1,1,7,3,3,4,0,Paul Morphy
1,1,8,4,1,5,1,Paul Morphy
1,0,4,5,2,4,1,Paul Morphy
1,1,4,2,1,2,0,Paul Morphy
1,1,4,6,1,5,1,Paul Morphy
1,1,3,5,2,1,1,Paul Morphy
1,1,2,7,0,6,1,Paul Morphy
1,1,5,5,0,5,1,Paul Morphy
1,1,3,6,1,5,0,Paul Morphy
1,1,4,5,2,3,0,Paul Morphy
1,1,5,4,3,3,0,Paul Morphy
1,1,6,3,3,6,0,Paul Morphy
1,1,7,3,0,3,1,Paul Morphy
1,1,9,4,1,2,1,Paul Morphy
1,1,2,3,4,5,0,Paul Morphy
1,1,5,5,1,2,1,Paul Morphy
1,1,6,3,2,3,0,Paul Morphy
1,1,5,2,4,5,1,Paul Morphy
1,1,4,5,0,3,1,Paul Morphy
1,1,6,6,0,5,1,Paul Morphy
1,1,6,6,1,5,1,Paul Morphy
1,1,6,5,0,2,1,Paul Morphy
1,0,3,6,0,2,1,Paul Morphy
1,0,7,2,1,0,1,Paul Morphy
1,1,6,6,1,5,0,Paul Morphy
1,0,7,5,1,2,1,Paul Morphy
1,1,4,4,0,0,1,Paul Morphy
1,1,6,5,0,5,0,Paul Morphy
1,1,8,3,0,5,1,Paul Morphy
1,1,7,4,2,4,1,Paul Morphy
1,0,3,7,0,3,1,Paul Morphy
0,1,5,5,0,2,1,Paul Morphy
1,1,5,4,1,3,1,Paul Morphy
1,1,7,5,0,2,1,Paul Morphy
1,1,4,4,4,8,0,Paul Morphy
